,away_goal_a_1,away_goal_half_a_1,away_red_a_1,away_team_a_1,away_yellow_a_1,date_a_1,flag_a_1,footGoal_away_a_1,footGoal_away_half_a_1,footGoal_bet_a_1,footGoal_home_a_1,footGoal_home_half_a_1,goals_bet_a_1,home_goal_a_1,home_goal_half_a_1,home_red_a_1,home_team_a_1,home_yellow_a_1,id_a_1,main_bet_a_1,match_a_1,l_home_goal,l_away_goal,l_home_yellow,l_home_red,l_away_yellow,l_away_red,l_flag,l_net_goal,l_net_yellow,l_date,l_diff_time
426,1,1,0,利物浦,1,17/09/16,0,12,4,10.5,2,0,3.0,1,1,0,伯恩利,2,427,-1.75,英超,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,-0.33330000333300003,0.0,15/03/05,501.6666666666667
256,2,0,0,利物浦,0,18/01/01,1,9,1,10.0,3,1,2.25,1,0,0,伯恩利,0,257,0.75,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.33330000333300003,16/08/20,300.0
1447,0,0,0,南安普顿,3,14/12/13,1,4,1,10.5,2,1,2.25,1,0,0,伯恩利,1,1448,0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1308,2,1,0,南安普顿,0,15/03/21,0,10,7,0.0,5,3,2.5,0,0,0,伯恩利,0,1309,-1.25,英超,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.9997000899730081,-0.49996250281228916,0,32.666666666666664
770,3,0,0,南安普顿,1,16/10/16,0,8,4,10.5,4,0,2.5,1,0,0,伯恩利,2,771,-1.5,英超,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.9998500224966255,0.0,0,416.0
647,0,0,0,南安普顿,2,17/01/14,1,7,3,11.0,2,2,2.25,1,0,0,伯恩利,1,648,0.5,英超,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,-0.49996250281228916,0.33330000333300003,14/12/13,506.0
365,0,0,0,南安普顿,0,17/11/04,0,9,2,11.0,1,1,2.25,1,0,0,伯恩利,0,366,-0.75,英超,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.9997000899730081,-0.33330000333300003,15/03/21,545.6666666666666
195,1,0,0,南安普顿,0,18/02/24,1,5,1,10.0,7,3,2.0,1,0,0,伯恩利,1,196,0.25,英超,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9997000899730081,0.0,16/10/16,338.0
81,0,0,0,南安普顿,0,18/08/12,0,8,2,10.5,5,4,2.0,0,0,0,伯恩利,1,82,-0.5,英超,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.9997000899730081,17/01/14,341.6666666666667
20,1,0,0,卡迪夫,1,18/09/30,0,10,6,10.0,2,1,2.25,2,0,0,伯恩利,3,21,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
417,0,0,0,哈德斯菲尔德,2,17/09/23,1,4,2,10.0,3,3,2.0,0,0,0,伯恩利,3,418,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
263,0,0,0,哈德斯菲尔德,2,17/12/30,0,5,2,11.0,4,4,2.0,0,0,0,伯恩利,1,264,-0.25,英超,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.19998800071995684,0,32.666666666666664
16,1,0,0,哈德斯菲尔德,2,18/10/06,1,10,4,10.0,1,1,2.0,1,1,0,伯恩利,2,17,-0.25,英超,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,-0.33330000333300003,0,219.33333333333334
