,away_goal_a_1,away_goal_half_a_1,away_red_a_1,away_team_a_1,away_yellow_a_1,date_a_1,flag_a_1,footGoal_away_a_1,footGoal_away_half_a_1,footGoal_bet_a_1,footGoal_home_a_1,footGoal_home_half_a_1,goals_bet_a_1,home_goal_a_1,home_goal_half_a_1,home_red_a_1,home_team_a_1,home_yellow_a_1,id_a_1,main_bet_a_1,match_a_1,l_home_goal,l_away_goal,l_home_yellow,l_home_red,l_away_yellow,l_away_red,l_flag,l_net_goal,l_net_yellow,l_date,l_diff_time
1519,0,0,0,桑德兰,3,14/10/18,1,6,4,10.5,5,2,2.5,8,3,0,南安普顿,1,1520,-1.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1262,2,1,0,桑德兰,2,15/05/02,0,1,0,10.0,1,1,2.25,1,1,1,南安普顿,1,1263,0.5,英超,2.6666666666666665,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.9999625014061971,-0.49996250281228916,0,65.33333333333333
1113,0,0,0,桑德兰,1,15/11/07,0,3,1,10.0,7,1,2.5,1,0,0,南安普顿,4,1114,0.75,英超,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,-0.33330000333300003,-0.33330000333300003,0,191.33333333333334
944,1,0,0,桑德兰,1,16/03/05,1,2,2,10.5,12,5,2.5,1,0,1,南安普顿,2,945,-0.75,英超,0.3333333333333333,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.9997000899730081,0.5999640021598704,14/10/18,310.3333333333333
824,1,0,0,桑德兰,2,16/08/27,1,5,3,10.0,5,1,2.75,1,0,0,南安普顿,2,825,-1.25,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.33330000333300003,15/05/02,317.3333333333333
606,0,0,0,桑德兰,1,17/02/11,0,6,3,10.0,2,0,2.5,4,2,0,南安普顿,0,607,0.5,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,15/11/07,324.3333333333333
1422,1,0,0,水晶宫,1,14/12/26,0,8,5,10.5,4,2,2.25,3,1,0,南安普顿,0,1423,0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1330,0,0,0,水晶宫,2,15/03/04,1,2,1,10.5,10,5,2.25,1,0,0,南安普顿,0,1331,-0.75,英超,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.49996250281228916,-0.9997000899730081,0,22.666666666666668
1071,1,1,0,水晶宫,0,15/12/12,0,8,6,10.5,5,2,2.25,0,0,0,南安普顿,0,1072,-0.25,英超,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.9997000899730081,-0.9998500224966255,0,211.33333333333334
850,1,0,0,水晶宫,2,16/05/15,1,5,2,11.0,2,0,3.0,4,1,0,南安普顿,1,851,-2.0,英超,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.9997000899730081,0.0,14/12/26,366.3333333333333
714,3,2,0,水晶宫,3,16/12/03,0,4,1,11.0,9,4,2.25,0,0,0,南安普顿,1,715,0.25,英超,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5999640021598704,-0.33330000333300003,15/03/04,399.6666666666667
549,1,1,0,水晶宫,1,17/04/06,1,11,4,10.5,11,5,2.25,3,1,0,南安普顿,2,550,-0.5,英超,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,-0.9999000099990001,-0.49996250281228916,15/12/12,310.3333333333333
427,0,0,0,水晶宫,5,17/09/16,0,5,3,10.5,5,0,2.25,1,1,0,南安普顿,1,428,0.0,英超,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.49996250281228916,0.33330000333300003,16/05/15,313.0
252,2,0,0,水晶宫,1,18/01/03,1,7,3,11.5,4,2,2.25,1,1,0,南安普顿,0,253,-0.5,英超,0.3333333333333333,0.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0.9997000899730081,-0.6666333349999167,16/12/03,259.0
56,0,0,0,水晶宫,1,18/09/01,0,7,1,10.5,4,4,2.25,2,0,0,南安普顿,1,57,0.0,英超,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.33330000333300003,-0.9997000899730081,17/04/06,368.0
1196,0,0,0,沃特福德,0,15/08/23,0,5,1,10.0,2,1,2.25,0,0,0,南安普顿,2,1197,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1021,0,0,0,沃特福德,2,16/01/14,1,1,1,10.5,8,3,2.25,2,1,0,南安普顿,1,1022,-0.5,英超,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.9998500224966255,0,48.0
844,1,1,1,沃特福德,2,16/08/13,1,2,0,10.5,6,1,2.25,1,0,0,南安普顿,1,845,-0.75,英超,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.9998500224966255,-0.33330000333300003,0,189.33333333333334
587,3,1,0,沃特福德,3,17/03/04,0,6,5,9.5,5,2,2.25,4,2,0,南安普顿,2,588,0.5,英超,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.33330000333300003,15/08/23,392.3333333333333
435,2,1,0,沃特福德,0,17/09/09,1,4,3,10.0,7,1,2.5,0,0,0,南安普顿,0,436,-0.75,英超,1.3333333333333333,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.14285102067054267,-0.19998800071995684,16/01/14,395.0
243,2,0,0,沃特福德,0,18/01/13,0,5,2,10.5,4,3,2.5,2,2,0,南安普顿,4,244,0.0,英超,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,-0.9998500224966255,0.0,16/08/13,319.6666666666667
701,0,0,0,米德尔斯堡,3,16/12/11,1,2,2,10.0,4,1,2.0,1,0,0,南安普顿,4,702,-1.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
489,1,0,0,米德尔斯堡,3,17/05/13,0,6,1,10.0,3,1,2.25,2,1,0,南安普顿,0,490,0.5,英超,0.3333333333333333,0.0,1.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.9997000899730081,0.14285102067054267,0,51.0
1562,0,0,0,纽卡斯尔,2,14/09/13,1,5,2,10.5,5,3,2.5,3,2,0,南安普顿,0,1563,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1382,1,1,0,纽卡斯尔,0,15/01/18,0,9,2,10.5,0,0,2.25,2,1,0,南安普顿,2,1383,0.0,英超,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.9999000099990001,-0.9998500224966255,0,42.333333333333336
913,1,0,0,纽卡斯尔,0,16/04/09,1,2,0,10.5,11,6,2.5,3,2,0,南安普顿,0,914,-1.0,英超,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.33330000333300003,0.9998500224966255,0,340.3333333333333
390,2,1,0,纽卡斯尔,2,17/10/15,1,8,3,10.5,3,2,2.25,2,0,0,南安普顿,1,391,-0.5,英超,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.49996250281228916,0.0,14/09/13,894.3333333333334
173,3,2,0,纽卡斯尔,0,18/03/10,0,2,0,10.5,6,1,2.25,0,0,0,南安普顿,2,174,0.0,英超,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,-0.33330000333300003,15/01/18,664.3333333333334
1494,0,0,0,莱斯特,2,14/11/08,1,4,2,10.5,13,5,2.75,2,0,0,南安普顿,2,1495,-1.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1252,2,2,0,莱斯特,1,15/05/09,0,4,2,10.5,8,4,2.5,0,0,0,南安普顿,0,1253,0.0,英超,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.9998500224966255,0.0,0,60.666666666666664
1143,2,0,0,莱斯特,0,15/10/17,1,7,4,10.5,6,6,2.75,2,2,0,南安普顿,2,1144,-0.75,英超,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,-0.9998500224966255,-0.9997000899730081,0,168.0
917,1,1,0,莱斯特,2,16/04/03,0,7,4,11.0,8,6,2.25,0,0,0,南安普顿,2,918,-0.25,英超,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.9998500224966255,14/11/08,337.0
780,0,0,0,莱斯特,1,16/10/02,0,3,2,10.5,6,3,2.5,0,0,0,南安普顿,0,781,-0.25,英超,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,-0.9997000899730081,0.0,15/05/09,348.3333333333333
631,0,0,0,莱斯特,1,17/01/22,1,2,1,10.5,7,5,2.25,3,2,0,南安普顿,0,632,-0.75,英超,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.9997000899730081,15/10/17,289.6666666666667
304,4,3,0,莱斯特,0,17/12/14,1,9,6,11.0,9,5,2.5,1,0,0,南安普顿,1,305,-0.5,英超,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9999000099990001,-0.9997000899730081,16/04/03,461.3333333333333
132,0,0,0,莱斯特,0,18/04/20,0,11,2,11.0,3,1,2.5,0,0,0,南安普顿,0,133,-0.25,英超,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,-0.5999640021598704,0.9997000899730081,16/10/02,381.6666666666667
66,2,0,0,莱斯特,1,18/08/25,1,3,2,11.0,10,7,2.25,1,0,1,南安普顿,2,67,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17/01/22,320.3333333333333
1582,0,0,0,西布朗维奇,2,14/08/23,1,5,3,10.5,1,0,2.5,0,0,0,南安普顿,1,1583,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1334,1,1,0,西布朗维奇,2,15/02/28,0,2,2,10.0,3,3,2.0,0,0,0,南安普顿,1,1335,0.25,英超,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,-0.33330000333300003,0,63.0
1181,0,0,0,西布朗维奇,1,15/09/12,0,4,3,10.0,5,3,2.25,0,0,0,南安普顿,0,1182,0.25,英超,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,-0.9997000899730081,-0.33330000333300003,0,193.66666666666666
666,2,1,0,西布朗维奇,3,16/12/31,1,3,2,10.0,8,3,2.25,1,1,1,南安普顿,2,667,-0.75,英超,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.9997000899730081,14/08/23,669.6666666666666
542,0,0,0,西布朗维奇,2,17/04/08,0,7,2,10.0,3,1,2.25,1,1,0,南安普顿,2,543,0.0,英超,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,-0.33330000333300003,-0.19998800071995684,15/02/28,480.6666666666667
381,0,0,0,西布朗维奇,1,17/10/22,1,3,1,10.0,8,7,2.0,1,0,0,南安普顿,0,382,-0.5,英超,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.9997000899730081,0.0,15/09/12,421.0
214,2,1,0,西布朗维奇,2,18/02/03,0,5,3,10.0,7,4,2.25,3,2,0,南安普顿,1,215,0.0,英超,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9997000899730081,-0.9997000899730081,16/12/31,268.0
1569,1,1,0,西汉姆,2,14/08/30,0,2,2,10.5,9,4,2.25,3,1,0,南安普顿,1,1570,0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1351,0,0,1,西汉姆,1,15/02/12,1,2,1,11.0,8,1,2.5,0,0,0,南安普顿,2,1352,-0.75,英超,1.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.49996250281228916,-0.33330000333300003,0,55.333333333333336
1038,2,0,0,西汉姆,1,15/12/29,0,4,1,11.0,7,3,2.25,1,1,0,南安普顿,3,1039,0.25,英超,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.33330000333300003,0,268.6666666666667
981,0,0,0,西汉姆,2,16/02/07,1,5,3,10.5,4,3,2.5,1,1,1,南安普顿,1,982,-0.75,英超,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,-0.33330000333300003,0.49996250281228916,14/08/30,308.6666666666667
790,0,0,0,西汉姆,5,16/09/25,0,6,3,10.5,2,1,2.5,3,1,0,南安普顿,2,791,0.25,英超,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.9997000899730081,-0.33330000333300003,15/02/12,364.3333333333333
614,3,2,0,西汉姆,2,17/02/04,1,2,2,10.5,3,0,2.5,1,1,0,南安普顿,0,615,-0.75,英超,1.0,0.0,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,0.9999000099990001,-0.428553062011628,15/12/29,299.3333333333333
457,2,1,1,西汉姆,1,17/08/19,1,2,1,10.5,7,2,2.5,3,2,0,南安普顿,1,458,-0.75,英超,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.49996250281228916,-0.9998500224966255,16/02/07,361.0
160,3,3,0,西汉姆,0,18/03/31,0,5,5,10.0,9,1,2.25,0,0,0,南安普顿,3,161,0.0,英超,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19998800071995684,0.0,16/09/25,398.6666666666667
1186,0,0,1,诺维奇,1,15/08/30,1,4,1,10.5,6,4,2.25,3,1,0,南安普顿,0,1187,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1030,1,0,0,诺维奇,1,16/01/02,0,4,1,10.5,9,6,2.25,0,0,1,南安普顿,1,1031,0.25,英超,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999000099990001,-0.9997000899730081,0,41.666666666666664
1503,0,0,0,赫尔,1,14/11/01,0,6,3,10.0,4,1,2.5,1,1,0,南安普顿,0,1504,0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1287,0,0,0,赫尔,0,15/04/11,1,5,2,10.0,2,2,2.25,2,0,0,南安普顿,2,1288,-1.0,英超,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.9997000899730081,-0.9997000899730081,0,53.666666666666664
741,2,0,0,赫尔,0,16/11/06,0,1,0,10.5,10,2,2.25,1,1,0,南安普顿,5,742,0.75,英超,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.9998500224966255,0.9998500224966255,0,437.0
514,0,0,0,赫尔,3,17/04/29,1,6,3,11.5,6,1,2.75,0,0,0,南安普顿,0,515,-1.0,英超,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,-0.33330000333300003,0.999940003599784,14/11/01,611.0
1479,1,1,0,阿斯顿维拉,1,14/11/25,0,2,2,10.5,8,7,2.25,1,0,0,南安普顿,2,1480,0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1244,1,1,0,阿斯顿维拉,1,15/05/16,1,3,1,10.0,6,1,2.25,6,5,0,南安普顿,1,1245,-0.75,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.33330000333300003,0,57.333333333333336
1080,1,1,0,阿斯顿维拉,2,15/12/05,1,4,1,10.0,10,5,2.5,1,0,0,南安普顿,1,1081,-1.25,英超,2.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.7142551033527134,0.0,0,192.66666666666666
886,2,1,0,阿斯顿维拉,2,16/04/23,0,6,3,10.5,11,5,2.5,4,2,0,南安普顿,0,887,1.0,英超,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,-0.33330000333300003,14/11/25,332.6666666666667
1459,1,0,0,阿森纳,0,14/12/04,0,9,5,11.0,4,3,2.5,0,0,0,南安普顿,2,1460,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1404,0,0,0,阿森纳,1,15/01/01,1,7,2,10.0,2,2,2.5,2,1,0,南安普顿,2,1405,0.0,英超,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,-0.9997000899730081,0.9998500224966255,0,9.333333333333334
1045,0,0,0,阿森纳,0,15/12/27,1,4,4,10.5,3,0,2.5,4,1,0,南安普顿,1,1046,0.25,英超,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9998500224966255,0.33330000333300003,0,249.33333333333334
996,0,0,0,阿森纳,2,16/02/03,0,13,2,10.5,3,3,2.5,0,0,0,南安普顿,1,997,-0.75,英超,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.9999250056245782,0.9997000899730081,14/12/04,287.3333333333333
813,2,1,0,阿森纳,2,16/09/10,0,6,2,11.0,1,0,2.5,1,1,0,南安普顿,5,814,-1.0,英超,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,-0.33330000333300003,15/01/01,365.3333333333333
494,2,0,0,阿森纳,2,17/05/11,1,5,2,10.0,5,4,3.0,0,0,0,南安普顿,1,495,0.25,英超,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.6666666666666666,0.0,0.0,-0.33330000333300003,0.428553062011628,15/12/27,402.3333333333333
311,1,0,0,阿森纳,2,17/12/10,1,5,2,10.0,4,3,2.75,1,1,0,南安普顿,2,312,0.5,英超,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.9998500224966255,-0.33330000333300003,16/02/03,448.3333333333333
146,3,2,1,阿森纳,2,18/04/08,0,8,5,11.0,6,1,2.75,2,1,1,南安普顿,1,147,-0.75,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,16/09/10,342.0
20,2,0,0,伯恩利,3,18/09/30,1,2,1,10.0,10,6,2.25,1,0,0,卡迪夫,1,21,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
85,2,1,0,伯恩茅斯,1,18/08/11,0,7,3,10.5,4,0,2.5,0,0,0,卡迪夫,1,86,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
47,4,2,0,切尔西,0,18/09/15,0,5,4,11.0,4,4,3.25,1,1,0,卡迪夫,0,48,-2.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
67,0,0,1,哈德斯菲尔德,0,18/08/25,0,7,5,10.0,7,1,2.0,0,0,0,卡迪夫,1,68,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,2,2,0,富勒姆,3,18/10/20,1,4,3,10.5,4,4,2.75,4,2,0,卡迪夫,3,8,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
17,1,1,0,托特纳姆热刺,3,18/10/06,0,6,3,11.0,2,2,3.0,0,0,1,卡迪夫,1,18,-1.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
36,5,3,0,曼城,1,18/09/22,1,9,6,10.5,1,1,3.5,0,0,0,卡迪夫,1,37,2.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
78,0,0,1,纽卡斯尔,2,18/08/18,1,5,3,10.0,5,3,2.0,0,0,0,卡迪夫,3,79,0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
51,3,1,0,阿森纳,4,18/09/02,1,9,4,10.0,3,1,2.75,2,1,0,卡迪夫,3,52,1.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
417,0,0,0,伯恩利,3,17/09/23,0,3,3,10.0,4,2,2.0,0,0,0,哈德斯菲尔德,2,418,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
263,0,0,0,伯恩利,1,17/12/30,1,4,4,11.0,5,2,2.0,0,0,0,哈德斯菲尔德,2,264,-0.25,英超,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,-0.19998800071995684,0,32.666666666666664
16,1,1,0,伯恩利,2,18/10/06,0,1,1,10.0,10,4,2.0,1,0,0,哈德斯菲尔德,2,17,-0.25,英超,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.33330000333300003,0,219.33333333333334
357,4,2,1,伯恩茅斯,4,17/11/18,0,8,6,10.5,11,5,2.25,0,0,0,哈德斯菲尔德,2,358,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
202,1,1,0,伯恩茅斯,3,18/02/11,1,6,3,10.0,2,2,2.25,4,2,0,哈德斯菲尔德,0,203,0.25,英超,0.0,1.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.0,-0.9999250056245782,-0.3333166674999583,0,28.333333333333332
307,3,2,0,切尔西,0,17/12/13,1,3,1,10.5,1,1,2.5,1,0,0,哈德斯菲尔德,0,308,1.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
103,1,0,0,切尔西,1,18/05/10,0,9,4,10.5,0,0,2.5,1,0,0,哈德斯菲尔德,1,104,-1.5,英超,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.49996250281228916,0.0,0,49.333333333333336
86,3,2,0,切尔西,1,18/08/11,1,5,1,10.0,2,1,2.5,0,0,0,哈德斯菲尔德,2,87,1.0,英超,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,111.33333333333333
376,3,0,0,利物浦,0,17/10/28,0,9,2,10.5,2,2,3.0,0,0,0,哈德斯菲尔德,1,377,-1.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
226,3,2,0,利物浦,0,18/01/31,1,4,3,9.5,1,0,3.0,0,0,0,哈德斯菲尔德,0,227,1.5,英超,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.9999000099990001,0.9997000899730081,0,31.666666666666668
1,1,1,0,利物浦,2,18/10/21,1,4,0,10.0,2,1,2.75,0,0,0,哈德斯菲尔德,0,2,1.5,英超,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.9999000099990001,0.0,0,207.0
446,0,0,0,南安普顿,1,17/08/26,1,4,1,10.0,5,4,2.25,0,0,0,哈德斯菲尔德,0,447,0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
284,1,1,0,南安普顿,2,17/12/23,0,9,6,11.0,1,1,2.25,1,0,0,哈德斯菲尔德,1,285,-0.75,英超,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.9997000899730081,0,39.666666666666664
67,0,0,0,卡迪夫,1,18/08/25,1,7,1,10.0,7,5,2.0,0,0,1,哈德斯菲尔德,0,68,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
322,2,0,0,埃弗顿,2,17/12/02,0,2,0,10.5,5,2,2.25,0,0,0,哈德斯菲尔德,1,323,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
123,2,1,0,埃弗顿,0,18/04/28,1,3,3,9.5,4,1,2.0,0,0,0,哈德斯菲尔德,1,124,0.0,英超,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,-0.9998500224966255,-0.33330000333300003,0,49.0
54,1,1,0,埃弗顿,3,18/09/01,0,4,2,10.0,3,2,2.25,1,1,0,哈德斯菲尔德,3,55,-1.0,英超,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,-0.9998500224966255,0.9997000899730081,0,133.0
316,0,0,0,布莱顿,0,17/12/09,1,1,1,10.0,8,4,1.75,2,2,0,哈德斯菲尔德,0,317,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
150,1,1,1,布莱顿,1,18/04/07,0,5,2,10.0,3,2,2.0,1,1,0,哈德斯菲尔德,0,151,-0.75,英超,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.9998500224966255,0.0,0,39.666666666666664
408,4,3,0,托特纳姆热刺,1,17/09/30,1,7,4,10.5,4,3,2.5,0,0,0,哈德斯菲尔德,1,409,1.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
183,2,1,0,托特纳姆热刺,1,18/03/03,0,8,5,11.0,1,0,3.25,0,0,0,哈德斯菲尔德,1,184,-2.25,英超,0.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.9999250056245782,0.0,0,51.333333333333336
25,2,2,0,托特纳姆热刺,2,18/09/29,1,0,0,9.5,3,2,2.5,0,0,0,哈德斯菲尔德,2,26,0.75,英超,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,-0.9998500224966255,0.0,0,191.33333333333334
277,1,0,0,斯托克城,4,17/12/26,1,5,2,10.5,8,3,2.0,1,1,0,哈德斯菲尔德,2,278,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
236,2,0,0,斯托克城,1,18/01/20,0,3,3,11.0,2,2,2.25,0,0,0,哈德斯菲尔德,1,237,-0.5,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333166674999583,0,8.333333333333334
397,2,1,0,斯旺西,1,17/10/14,0,5,3,10.0,3,2,2.0,0,0,0,哈德斯菲尔德,5,398,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
176,0,0,1,斯旺西,3,18/03/10,1,0,0,9.0,12,7,2.0,0,0,0,哈德斯菲尔德,2,177,-0.25,英超,0.0,0.6666666666666666,1.6666666666666667,0.0,0.3333333333333333,0.0,0.0,-0.9998500224966255,0.6666333349999167,0,49.0
339,2,0,0,曼城,2,17/11/27,1,7,6,10.0,3,2,3.25,1,1,0,哈德斯菲尔德,2,340,2.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
107,0,0,0,曼城,0,18/05/06,0,10,2,10.5,1,1,3.75,0,0,0,哈德斯菲尔德,3,108,-3.0,英超,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.33330000333300003,0.0,0,53.333333333333336
