,id,match,date,home_red,home_yellow,home_team,home_goal,away_goal,away_team,away_yellow,away_red,home_goal_half,away_goal_half,main_bet,goals_bet,footGoal_bet,footGoal_home_half,footGoal_home,footGoal_away_half,footGoal_away,flag,f_home_goal_all_h_3,f_away_goal_all_h_3,f_home_yellow_all_h_3,f_home_red_all_h_3,f_away_yellow_all_h_3,f_away_red_all_h_3,f_flag_all_h_3,f_net_goal_all_h_3,f_net_yellow_all_h_3,f_date_all_h_3,f_diff_time_all_h_3
652,653,英超,17/01/04,1,2,伯恩茅斯,3,3,阿森纳,3,0,2,0,0.75,2.75,10.5,2,4,2,7,1,2.0,2.0,0.6666666666666666,0.0,2.6666666666666665,0.0,1.0,0.0,-0.5999820005399839,16/12/04,23.0
637,638,英超,17/01/21,0,1,伯恩茅斯,2,2,沃特福德,2,0,0,1,-0.5,2.5,10.5,5,9,1,4,1,1.6666666666666667,2.0,0.6666666666666666,0.3333333333333333,3.0,0.0,1.0,-0.09090661163786438,-0.636346281465051,16/12/14,29.666666666666668
628,629,英超,17/02/01,0,0,伯恩茅斯,0,2,水晶宫,4,0,0,0,-0.25,2.5,11.0,2,2,2,3,1,2.0,2.6666666666666665,1.0,0.3333333333333333,2.6666666666666665,0.0,1.0,-0.1428540816982493,-0.45453305818932205,16/12/18,28.0
599,600,英超,17/02/14,0,2,伯恩茅斯,0,2,曼城,3,0,0,1,1.25,3.0,10.0,1,3,4,7,1,1.6666666666666667,2.3333333333333335,1.0,0.3333333333333333,3.0,0.0,1.0,-0.16666250010416409,-0.49998750031249223,17/01/04,26.0
578,579,英超,17/03/11,0,4,伯恩茅斯,3,2,西汉姆,2,0,1,1,0.0,2.75,10.5,3,5,2,6,1,0.6666666666666666,2.0,1.0,0.0,3.0,0.0,1.0,-0.4999812507030987,-0.49998750031249223,17/01/21,37.333333333333336
569,570,英超,17/03/19,0,0,伯恩茅斯,2,0,斯旺西,2,0,1,0,-0.25,2.75,10.5,1,2,2,4,1,1.0,2.0,2.0,0.0,3.0,0.0,1.0,-0.3333222225925802,-0.1999960000799984,17/02/01,29.0
539,540,英超,17/04/09,0,2,伯恩茅斯,1,3,切尔西,3,0,1,2,1.0,3.0,10.5,2,4,2,4,1,1.6666666666666667,1.3333333333333333,2.0,0.0,2.3333333333333335,0.0,1.0,0.11110740753086013,-0.07692130181611197,17/02/14,34.666666666666664
523,524,英超,17/04/22,0,0,伯恩茅斯,4,0,米德尔斯堡,3,1,2,0,-0.5,2.5,10.0,2,4,1,3,1,2.0,1.6666666666666667,2.0,0.0,2.3333333333333335,0.0,1.0,0.09090661163786438,-0.07692130181611197,17/03/11,29.666666666666668
502,503,英超,17/05/06,0,2,伯恩茅斯,2,2,斯托克城,0,0,0,1,-0.25,2.5,11.0,0,0,3,7,1,2.3333333333333335,1.0,0.6666666666666666,0.0,2.6666666666666665,0.3333333333333333,1.0,0.3999880003599892,-0.5999820005399839,17/03/19,29.666666666666668
490,491,英超,17/05/13,0,0,伯恩茅斯,2,1,伯恩利,1,0,1,0,-0.75,2.75,10.5,2,7,0,1,1,2.3333333333333335,1.6666666666666667,1.3333333333333333,0.0,2.0,0.3333333333333333,1.0,0.16666250010416409,-0.19999400017999464,17/04/09,20.666666666666668
